GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101000100,2187,641,65,65,20,20,28,28,83,60,435,36,10,1546,216,216,63,63,215,181,193,141,774,24,0,85
42101000200,995,418,13,0,88,39,57,0,0,0,250,31,10,577,160,118,58,28,120,80,64,27,169,20,6,0
42101000300,1735,431,8,8,13,13,27,15,55,0,328,65,0,1304,217,149,92,75,168,87,166,97,599,63,48,14
42101000401,1707,519,45,37,42,42,39,39,31,10,357,16,5,1188,422,326,221,171,68,34,152,88,258,8,31,36
42101000402,2391,1481,364,281,220,90,104,14,141,9,577,29,75,910,96,96,104,74,74,51,195,138,310,51,19,112
42101000500,795,30,4,4,0,0,0,0,0,0,22,0,4,765,211,179,94,50,63,37,188,66,150,6,48,11
42101000600,666,13,0,0,0,0,0,0,0,0,13,0,0,653,97,97,44,44,39,39,115,70,306,18,52,0
42101000700,2101,520,72,72,64,0,54,10,24,0,280,0,26,1581,438,377,227,183,132,53,180,89,478,39,104,22
42101000801,962,241,0,0,0,0,28,14,33,33,180,84,0,721,99,99,73,38,101,94,96,19,352,30,0,0
42101000803,2498,978,98,98,56,56,92,61,93,15,639,171,0,1520,146,146,367,318,240,122,275,87,317,0,61,114
42101000804,2557,642,63,63,0,0,96,24,61,61,422,145,0,1915,157,157,107,37,212,181,303,205,1099,70,25,12
42101000901,1320,46,4,4,13,0,0,0,8,8,21,0,0,1274,270,251,254,254,251,170,283,37,110,19,97,9
42101000902,1306,189,0,0,0,0,10,0,31,11,143,0,5,1117,460,302,70,29,125,105,139,76,301,33,17,5
42101001001,1430,867,52,52,39,39,65,22,132,23,579,59,0,563,82,82,25,25,39,39,84,34,274,0,35,24
42101001002,1816,1053,81,72,47,40,85,19,106,26,734,141,0,763,58,58,68,54,43,31,137,14,407,22,0,50
42101001101,1738,492,34,27,53,53,12,12,17,17,376,51,0,1246,336,253,135,94,92,24,291,0,367,41,8,17
42101001102,1455,513,37,37,26,26,37,37,51,26,362,0,0,942,253,218,119,119,103,70,207,61,224,36,36,0
42101001201,2037,1011,7,7,66,31,11,0,71,33,856,81,0,1026,6,6,54,54,193,112,177,35,465,28,53,78
42101001202,2970,875,43,43,15,15,53,24,84,11,680,180,0,2095,264,264,196,196,417,253,513,197,638,37,37,30
42101001300,2413,1476,166,93,104,52,94,69,235,117,826,17,51,937,176,176,201,162,33,33,118,10,364,0,0,45
42101001400,2043,900,13,13,60,60,28,9,99,61,700,62,0,1143,258,211,315,189,137,101,177,44,231,9,0,25
42101001500,1342,711,30,30,92,56,10,0,82,33,478,6,19,631,134,134,63,63,71,62,176,43,172,9,15,0
42101001600,1011,466,29,29,31,17,39,31,97,70,270,64,0,545,47,47,47,47,80,49,189,45,159,20,15,8
42101001700,1379,808,35,35,14,7,53,20,126,31,562,16,18,571,39,39,43,30,6,6,132,18,342,10,0,9
42101001800,1370,756,77,60,75,34,57,0,63,11,484,33,0,614,92,72,76,36,71,48,174,27,201,18,0,0
42101001900,1307,651,77,69,23,8,42,32,165,41,344,36,0,656,134,134,106,86,108,54,151,24,147,0,0,10
42101002000,882,466,121,54,141,37,34,17,96,4,74,0,0,416,145,145,108,66,50,10,33,6,80,0,0,0
42101002100,884,472,143,105,42,13,67,9,119,19,101,0,0,412,57,57,147,111,46,19,61,0,78,0,0,23
42101002200,1047,454,84,84,78,43,11,0,96,18,172,11,13,593,255,236,94,76,100,49,30,0,92,0,11,11
42101002300,1204,629,76,70,108,37,60,32,113,15,272,6,0,575,120,86,137,126,132,52,111,27,67,0,0,8
42101002400,2105,1021,80,62,130,41,170,105,100,33,541,48,0,1084,186,114,274,183,147,65,213,28,253,0,0,11
42101002500,1636,747,71,71,87,65,61,35,91,38,437,19,0,889,203,114,294,136,84,44,97,39,147,15,0,64
42101002701,1431,636,98,87,177,46,35,28,73,7,253,5,0,795,173,142,166,40,134,68,170,11,126,0,0,26
42101002702,1653,1179,139,108,142,59,98,5,251,44,534,0,15,474,99,99,70,65,65,30,95,32,75,0,18,52
42101002801,1486,704,208,133,98,70,84,11,111,0,203,9,0,782,163,163,216,156,79,28,121,0,140,0,0,63
42101002802,2201,1425,202,148,230,40,104,0,397,43,492,23,0,776,251,251,191,121,101,40,79,0,107,0,0,47
42101002900,1956,1101,182,136,83,20,127,13,127,14,570,47,12,855,106,106,184,153,230,78,147,0,160,0,28,0
42101003001,1574,900,139,93,213,151,149,48,157,57,230,0,12,674,87,87,223,167,149,69,97,16,67,0,7,44
42101003002,1253,679,189,108,146,68,46,10,53,19,219,0,26,574,260,232,98,54,72,41,41,0,67,0,0,36
42101003100,1766,879,318,170,170,68,107,0,76,0,155,0,53,887,353,282,270,248,73,18,107,0,8,0,49,27
42101003200,1789,1019,364,240,242,139,102,9,181,0,111,0,19,770,416,407,75,44,90,75,55,0,81,0,0,53
42101003300,2365,1055,271,187,219,99,179,0,244,0,142,0,0,1310,598,598,319,260,236,84,49,0,20,0,11,77
42101003600,2687,921,204,139,288,183,155,57,113,10,161,0,0,1766,1111,663,335,63,77,59,87,0,17,0,52,87
42101003701,1981,1111,331,268,222,111,215,122,199,33,134,0,10,870,139,139,107,92,202,120,212,0,87,0,101,22
42101003702,1373,890,155,137,183,113,122,6,238,15,157,0,35,483,66,66,110,60,146,55,21,0,45,0,30,65
42101003800,1555,1267,177,149,212,85,171,77,153,74,554,11,0,288,46,46,48,48,44,35,94,10,16,0,0,40
42101003901,2559,1425,293,169,292,85,178,93,304,12,358,0,0,1134,371,334,243,121,118,0,155,0,192,0,0,55
42101003902,2314,1965,237,212,264,120,226,32,455,82,762,0,21,349,114,114,92,92,11,0,41,0,77,0,0,14
42101004001,1847,1229,154,111,213,107,117,38,267,61,447,20,31,618,175,175,138,91,123,65,74,0,97,0,11,0
42101004002,2067,1725,179,104,381,166,289,155,312,127,564,0,0,342,43,35,51,31,112,74,37,0,31,0,0,68
42101004101,2137,1090,221,201,274,98,217,56,180,15,167,0,31,1047,402,377,250,230,163,77,129,0,54,0,0,49
42101004102,2667,1431,210,210,460,317,169,9,234,21,331,19,27,1236,461,461,187,178,142,60,134,24,196,0,13,103
42101004201,1977,1540,228,150,318,63,251,29,279,37,444,0,20,437,132,59,54,20,75,75,31,14,86,0,0,59
42101004202,1771,1380,359,268,194,110,146,34,375,31,298,36,8,391,99,99,57,57,59,9,82,0,56,0,0,38
42101005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101005400,682,212,44,44,7,7,29,10,31,0,90,17,11,470,84,84,70,46,75,43,137,13,82,0,0,22
42101005500,2417,1647,231,231,305,193,245,106,385,137,432,0,49,770,110,110,148,148,198,76,190,18,94,0,30,0
42101005600,540,97,6,6,19,0,25,0,11,0,36,0,0,443,246,119,56,36,23,4,74,36,30,0,14,0
42101006000,2448,1552,298,282,372,124,250,55,178,59,429,11,25,896,363,335,184,80,136,17,54,0,95,0,52,12
42101006100,1158,775,110,92,241,172,93,18,209,31,113,8,9,383,152,152,47,29,80,47,45,11,17,0,27,15
42101006200,1409,843,242,233,164,115,234,96,77,8,126,0,0,566,122,113,176,176,72,49,130,37,20,0,30,16
42101006300,1337,394,42,42,79,31,66,9,153,12,54,8,0,943,448,435,222,155,79,37,20,20,100,0,64,10
42101006400,1271,790,165,147,143,84,94,23,258,56,123,0,7,481,127,127,180,117,65,24,44,10,20,0,28,17
42101006500,1712,918,284,216,231,86,136,6,59,0,183,0,25,794,312,312,177,166,113,33,113,0,0,0,34,45
42101006600,1306,457,127,108,98,36,70,0,73,0,63,0,26,849,383,266,150,115,89,0,78,7,79,0,46,24
42101006700,2301,1100,302,259,188,124,230,116,231,47,95,0,54,1201,492,464,203,122,202,150,160,0,19,0,71,54
42101006900,946,303,89,38,58,30,57,27,32,0,37,0,30,643,353,126,181,110,12,0,45,0,21,0,31,0
42101007000,1531,851,301,228,165,64,135,0,95,0,128,0,27,680,267,267,218,118,89,8,36,0,32,0,0,38
42101007101,971,574,85,78,114,8,221,118,98,0,56,0,0,397,155,134,89,64,23,2,56,0,0,0,20,54
42101007102,1841,1084,266,230,361,142,189,5,121,8,138,0,9,757,318,318,158,100,99,12,104,0,0,0,20,58
42101007200,1600,1017,402,343,117,52,194,36,179,26,125,0,0,583,259,251,148,24,52,24,40,0,9,0,34,41
42101007300,1172,503,120,99,80,16,154,8,68,0,81,0,0,669,377,296,143,143,84,18,8,0,40,0,0,17
