GEOID10,INTPTLAT10,INTPTLON10,SECTION
42101005000,+39.8898768,-075.1691412,SouthPhilly
42101005400,+39.8904539,-075.2513923,SouthWest
42101005500,+39.9074191,-075.2489174,SouthWest
42101005600,+39.8988328,-075.2447347,SouthWest
42101006000,+39.9115196,-075.2381570,SouthWest
42101006100,+39.9150013,-075.2288094,SouthWest
42101006200,+39.9194134,-075.2335257,SouthWest
42101006300,+39.9210843,-075.2399762,SouthWest
42101010000,+39.9710834,-075.2503759,SouthWest
42101010100,+39.9721396,-075.2425290,SouthWest
42101010200,+39.9680830,-075.2316701,SouthWest
42101010300,+39.9678322,-075.2254383,SouthWest
42101010400,+39.9654995,-075.2191193,SouthWest
42101010500,+39.9665652,-075.2142018,SouthWest
42101010600,+39.9646327,-075.2079213,SouthWest
42101010700,+39.9687475,-075.2069442,SouthWest
42101010800,+39.9660217,-075.1989890,SouthWest
42101010900,+39.9649286,-075.1917650,SouthWest
42101011000,+39.9737291,-075.2062951,SouthWest
42101011100,+39.9752003,-075.2215745,SouthWest
42101011200,+39.9736041,-075.2336533,SouthWest
42101011300,+39.9786554,-075.2353346,SouthWest
42101011400,+39.9807388,-075.2440178,SouthWest
42101015700,+39.9780463,-075.1355242,FrankfordKennsington
42101015800,+39.9735773,-075.1294327,FrankfordKennsington
42101016000,+39.9793809,-075.1231903,FrankfordKennsington
42101016100,+39.9844571,-075.1275250,FrankfordKennsington
42101016200,+39.9840197,-075.1384217,FrankfordKennsington
42101016300,+39.9885061,-075.1339156,FrankfordKennsington
42101016400,+39.9896437,-075.1431665,FrankfordKennsington
42101016500,+39.9890550,-075.1491723,CenterCity
42101016600,+39.9890491,-075.1536062,CenterCity
42101016800,+39.9917820,-075.1676540,CenterCity
42101003901,+39.9238262,-075.1732854,SouthPhilly
42101016902,+39.9939857,-075.1831934,CenterCity
42101016901,+39.9930523,-075.1758394,CenterCity
42101020700,+40.0126929,-075.1944867,NorthWest
42101020800,+40.0213151,-075.1936140,NorthWest
42101020900,+40.0186576,-075.2089795,NorthWest
42101021000,+40.0244730,-075.2151045,NorthWest
42101021100,+40.0264564,-075.2065293,NorthWest
42101021200,+40.0348390,-075.2125337,NorthWest
42101021300,+40.0322339,-075.2181175,NorthWest
42101021400,+40.0279290,-075.2240827,NorthWest
42101021500,+40.0350417,-075.2288249,NorthWest
42101021600,+40.0436758,-075.2403985,NorthWest
42101024100,+40.0332734,-075.1759175,NorthWest
42101024200,+40.0285110,-075.1697086,NorthWest
42101024300,+40.0215855,-075.1710376,NorthWest
42101024400,+40.0248284,-075.1638925,NorthWest
42101024500,+40.0333286,-075.1620463,NorthWest
42101024600,+40.0409623,-075.1729016,NorthWest
42101024700,+40.0417034,-075.1645311,NorthWest
42101024800,+40.0468442,-075.1668818,NorthWest
42101024900,+40.0511009,-075.1601167,NorthWest
42101025200,+40.0468352,-075.1771588,NorthWest
42101025300,+40.0542198,-075.1822200,NorthWest
42101025400,+40.0604202,-075.1760718,NorthWest
42101025500,+40.0625796,-075.1840640,NorthWest
42101025600,+40.0683411,-075.1883025,NorthWest
42101028300,+40.0260505,-075.1438525,NorthWest
42101028400,+40.0251577,-075.1381287,NorthWest
42101028500,+40.0287154,-075.1337359,NorthWest
42101028600,+40.0285757,-075.1276448,NorthWest
42101028700,+40.0218194,-075.1314402,FrankfordKennsington
42101028800,+40.0222841,-075.1240562,FrankfordKennsington
42101029000,+40.0296096,-075.1166058,NorthWest
42101029100,+40.0361323,-075.1074594,NorthEast
42101029200,+40.0249561,-075.1021580,NorthEast
42101029300,+40.0137540,-075.0917655,NorthEast
42101029400,+40.0094789,-075.0854721,NorthEast
42101029800,+40.0159529,-075.0678013,NorthEast
42101033300,+40.0550147,-075.0440558,NorthEast
42101033400,+40.0535052,-075.0529610,NorthEast
42101033500,+40.0546014,-075.0648677,NorthEast
42101033600,+40.0614785,-075.0592350,NorthEast
42101033800,+40.0626481,-075.0736440,NorthEast
42101033900,+40.0685560,-075.0873418,NorthEast
42101034000,+40.0711759,-075.0735007,NorthEast
42101034100,+40.0763415,-075.0806938,NorthEast
42101034200,+40.0825947,-075.0721585,NorthEast
42101980200,+40.0714709,-075.0443910,NorthEast
42101034400,+40.0943325,-075.0564419,NorthEast
42101034600,+40.0708314,-075.0207264,NorthEast
42101006400,+39.9251805,-075.2428396,SouthWest
42101006500,+39.9330955,-075.2318406,SouthWest
42101006600,+39.9293155,-075.2298425,SouthWest
42101036301,+40.0895349,-074.9667387,NorthEast
42101036400,+40.1127747,-074.9789137,NorthEast
42101036600,+39.9470272,-075.1404472,CenterCity
42101034803,+40.0619427,-075.0023705,NorthEast
42101034702,+40.0570427,-075.0283288,NorthEast
42101036202,+40.0838623,-074.9781805,NorthEast
42101003800,+39.9184658,-075.1831323,SouthPhilly
42101008302,+39.9566981,-075.2414378,SouthWest
42101017602,+39.9967182,-075.1305528,FrankfordKennsington
42101001002,+39.9450045,-075.1466193,CenterCity
42101001001,+39.9456722,-075.1516020,CenterCity
42101000402,+39.9532973,-075.1686952,CenterCity
42101000401,+39.9541871,-075.1758082,CenterCity
42101012204,+40.0009407,-075.2120769,SouthWest
42101012203,+40.0074668,-075.2093526,SouthWest
42101013602,+39.9715714,-075.1798097,CenterCity
42101034501,+40.0749091,-075.0392089,NorthEast
42101034502,+40.0814446,-075.0383811,NorthEast
42101001102,+39.9442654,-075.1566960,CenterCity
42101000902,+39.9471596,-075.1566389,CenterCity
42101000901,+39.9478866,-075.1623004,CenterCity
42101017201,+39.9993972,-075.1686145,NorthWest
42101017202,+39.9986670,-075.1742061,NorthWest
42101027401,+40.0386049,-075.1286496,NorthWest
42101020101,+40.0036824,-075.1553072,NorthWest
42101020102,+40.0111415,-075.1545676,NorthWest
42101031101,+40.0422496,-075.0785449,NorthEast
42101031102,+40.0370850,-075.0833729,NorthEast
42101019502,+40.0034030,-075.1300445,FrankfordKennsington
42101019501,+40.0004303,-075.1316227,FrankfordKennsington
42101028901,+40.0171008,-075.1151820,FrankfordKennsington
42101028902,+40.0216105,-075.1116877,FrankfordKennsington
42101033101,+40.0403093,-075.0379505,NorthEast
42101033102,+40.0451050,-075.0272869,NorthEast
42101031501,+40.0365919,-075.0481642,NorthEast
42101030501,+40.0428163,-075.0994351,NorthEast
42101030502,+40.0457206,-075.1046619,NorthEast
42101009802,+39.9745879,-075.2679037,SouthWest
42101018001,+39.9810569,-075.1128000,FrankfordKennsington
42101017702,+39.9950621,-075.1231399,FrankfordKennsington
42101017701,+39.9964470,-075.1167526,FrankfordKennsington
42101035602,+40.1079419,-075.0480601,NorthEast
42101035701,+40.1095846,-075.0286811,NorthEast
