Order,Order ID,Discount,Profit,Profit Ratio,Profit RatioTF,Quantity,Sales,Sales_ifNoDiscount,DiscountValue,Cost,Profit_ifNoDiscount,NewProfitRatio
1,CA-2014-131492,0.2,-3,-0.14,Negative,2,24,30,-6,27,3,0.1
2,CA-2012-105599,0.4,-14,-0.52,Negative,3,27,45,-18,41,4,0.09
3,CA-2013-109827,0.5,-24,-0.68,Negative,1,35,70,-35,59,11,0.16
4,CA-2012-105725,0.2,-1,-0.03,Negative,1,36,45,-9,37,8,0.18
5,CA-2012-111073,0.4,-15,-0.3,Negative,1,52,87,-35,67,20,0.23
6,CA-2011-114517,0.4,-20,-0.37,Negative,2,53,88,-35,73,15,0.17
7,US-2014-117247,0.5,-43,-0.64,Negative,3,67,134,-67,110,24,0.18
8,CA-2011-122931,0.4,-20,-0.3,Negative,1,67,112,-45,87,25,0.22
9,CA-2014-121790,0.5,-47,-0.68,Negative,1,69,138,-69,116,22,0.16
10,US-2011-150434,0.3,-4,-0.06,Negative,1,71,101,-30,75,26,0.26
11,CA-2014-142888,0,21,0.29,Positive,1,71,71,0,50,21,0.3
12,CA-2013-126165,0.2,-2,-0.03,Negative,2,71,89,-18,73,16,0.18
13,CA-2013-164889,0.2,-2,-0.03,Negative,2,71,89,-18,73,16,0.18
14,CA-2014-137505,0.2,-2,-0.03,Negative,2,71,89,-18,73,16,0.18
15,CA-2011-138177,0.5,-46,-0.62,Negative,1,74,148,-74,120,28,0.19
16,US-2013-161844,0.4,-29,-0.37,Negative,3,80,133,-53,109,24,0.18
17,CA-2014-143021,0.4,-29,-0.37,Negative,3,80,133,-53,109,24,0.18
18,CA-2011-104283,0,22,0.26,Positive,1,86,86,0,64,22,0.26
19,US-2012-151435,0,22,0.26,Positive,1,86,86,0,64,22,0.26
20,CA-2014-117653,0.5,-68,-0.74,Negative,1,91,182,-91,159,23,0.13
21,CA-2013-163153,0.3,-1,-0.01,Negative,2,99,141,-42,100,41,0.29
22,CA-2011-150581,0.2,2,0.03,Positive,1,100,125,-25,98,27,0.22
23,US-2011-141215,0.3,-19,-0.19,Negative,2,100,143,-43,119,24,0.17
24,CA-2012-141250,0.3,-13,-0.13,Negative,1,102,146,-44,115,31,0.21
25,CA-2012-166219,0.3,-16,-0.16,Negative,1,103,147,-44,119,28,0.19
26,US-2014-106663,0.5,-72,-0.66,Negative,1,109,218,-109,181,37,0.17
27,CA-2014-119284,0.4,-28,-0.23,Negative,2,121,202,-81,149,53,0.26
28,US-2014-123834,0.3,-21,-0.17,Negative,4,124,177,-53,145,32,0.18
29,CA-2014-156622,0.3,-31,-0.24,Negative,1,128,183,-55,159,24,0.13
30,CA-2013-156265,0.2,15,0.11,Positive,2,136,170,-34,121,49,0.29
31,US-2011-123519,0.4,-52,-0.38,Negative,1,137,228,-91,189,39,0.17
32,CA-2014-121293,0.4,-35,-0.25,Negative,1,139,232,-93,174,58,0.25
33,CA-2013-132066,0.4,-38,-0.27,Negative,1,142,237,-95,180,57,0.24
34,CA-2011-157882,0.2,4,0.02,Positive,1,143,179,-36,139,40,0.22
35,CA-2011-164210,0.5,-99,-0.68,Negative,2,146,292,-146,245,47,0.16
36,CA-2013-110898,0.5,-99,-0.68,Negative,2,146,292,-146,245,47,0.16
37,CA-2013-153101,0.2,-13,-0.09,Negative,1,146,183,-37,159,24,0.13
38,US-2011-118486,0.4,-36,-0.23,Negative,3,155,258,-103,191,67,0.26
39,US-2014-141558,0.4,-46,-0.3,Negative,3,155,258,-103,201,57,0.22
40,CA-2014-148404,0.4,-36,-0.23,Negative,3,155,258,-103,191,67,0.26
41,CA-2013-148096,0.2,12,0.08,Positive,2,161,201,-40,149,52,0.26
42,CA-2014-102925,0.4,-67,-0.4,Negative,2,167,278,-111,234,44,0.16
43,CA-2012-131597,0.2,-9,-0.05,Negative,3,170,213,-43,179,34,0.16
44,CA-2011-117464,0.2,19,0.11,Positive,3,170,213,-43,151,62,0.29
45,CA-2014-167003,0.2,-6,-0.04,Negative,3,171,214,-43,177,37,0.17
